,Month,Hour,Day Type,Load [kWh]
0,1,1,8,9.89
1,1,2,8,9.08
2,1,3,8,8.22
3,1,4,8,8.57
4,1,5,8,8.93
5,1,6,8,9.2
6,1,7,8,10.709999999999999
7,1,8,8,9.95
8,1,9,8,12.43
9,1,10,8,11.5
10,1,11,8,49.45
11,1,12,8,78.76
12,1,13,8,64.74000000000001
13,1,14,8,73.5
14,1,15,8,81.69
15,1,16,8,64.64
16,1,17,8,56.24
17,1,18,8,26.24
18,1,19,8,9.64
19,1,20,8,9.27
20,1,21,8,9.59
21,1,22,8,10.11
22,1,23,8,9.66
23,1,24,8,9.14
24,1,1,2,12.47
25,1,2,2,13.43
26,1,3,2,12.96
27,1,4,2,13.09
28,1,5,2,13.65
29,1,6,2,13.49
30,1,7,2,18.07
31,1,8,2,27.13
32,1,9,2,71.35
33,1,10,2,70.97
34,1,11,2,68.77000000000001
35,1,12,2,76.88
36,1,13,2,89.77000000000001
37,1,14,2,86.53999999999999
38,1,15,2,76.21
39,1,16,2,69.67
40,1,17,2,76.33
41,1,18,2,56.74
42,1,19,2,31.17
43,1,20,2,20.37
44,1,21,2,15.75
45,1,22,2,16.45
46,1,23,2,15.99
47,1,24,2,14.09
48,1,1,3,12.93
49,1,2,3,13.89
50,1,3,3,13.98
51,1,4,3,13.26
52,1,5,3,12.54
53,1,6,3,12.93
54,1,7,3,17.72
55,1,8,3,33.910000000000004
56,1,9,3,71.08
57,1,10,3,71.57
58,1,11,3,91.57
59,1,12,3,110.85
60,1,13,3,127.63
61,1,14,3,136.02999999999997
62,1,15,3,129.1
63,1,16,3,123.65
64,1,17,3,119.84
65,1,18,3,95.66999999999999
66,1,19,3,65.49
67,1,20,3,58.35
68,1,21,3,52.25
69,1,22,3,44.480000000000004
70,1,23,3,18.77
71,1,24,3,19.75
72,1,1,4,15.39
73,1,2,4,14.88
74,1,3,4,14.81
75,1,4,4,15.46
76,1,5,4,15.46
77,1,6,4,14.71
78,1,7,4,19.96
79,1,8,4,35.28
80,1,9,4,74.27
81,1,10,4,60.33
82,1,11,4,69.08
83,1,12,4,80.06
84,1,13,4,90.6
85,1,14,4,94.88
86,1,15,4,86.33
87,1,16,4,83.64
88,1,17,4,86.59
89,1,18,4,67.0
90,1,19,4,36.09
91,1,20,4,25.919999999999998
92,1,21,4,20.689999999999998
93,1,22,4,14.889999999999999
94,1,23,4,15.0
95,1,24,4,17.1
96,1,1,5,13.47
97,1,2,5,12.31
98,1,3,5,12.22
99,1,4,5,11.58
100,1,5,5,10.93
101,1,6,5,10.15
102,1,7,5,13.709999999999999
103,1,8,5,27.369999999999997
104,1,9,5,54.6
105,1,10,5,51.27
106,1,11,5,66.88
107,1,12,5,81.72999999999999
108,1,13,5,91.56
109,1,14,5,104.75
110,1,15,5,97.31
111,1,16,5,95.37
112,1,17,5,89.38
113,1,18,5,67.59
114,1,19,5,34.94
115,1,20,5,24.59
116,1,21,5,20.09
117,1,22,5,17.62
118,1,23,5,15.72
119,1,24,5,16.990000000000002
120,1,1,6,13.41
121,1,2,6,13.77
122,1,3,6,12.63
123,1,4,6,11.05
124,1,5,6,12.36
125,1,6,6,12.46
126,1,7,6,16.25
127,1,8,6,29.76
128,1,9,6,62.96
129,1,10,6,56.349999999999994
130,1,11,6,52.199999999999996
131,1,12,6,62.59
132,1,13,6,75.06
133,1,14,6,90.05
134,1,15,6,81.62
135,1,16,6,80.18
136,1,17,6,76.58
137,1,18,6,52.73
138,1,19,6,23.68
139,1,20,6,20.14
140,1,21,6,20.71
141,1,22,6,18.62
142,1,23,6,19.34
143,1,24,6,17.97
144,1,1,7,10.37
145,1,2,7,9.87
146,1,3,7,9.65
147,1,4,7,9.55
148,1,5,7,9.54
149,1,6,7,8.77
150,1,7,7,15.129999999999999
151,1,8,7,22.04
152,1,9,7,28.240000000000002
153,1,10,7,27.88
154,1,11,7,26.14
155,1,12,7,27.59
156,1,13,7,20.92
157,1,14,7,23.270000000000003
158,1,15,7,33.19
159,1,16,7,38.11
160,1,17,7,37.480000000000004
161,1,18,7,32.14
162,1,19,7,12.33
163,1,20,7,9.75
164,1,21,7,10.27
165,1,22,7,9.26
166,1,23,7,8.45
167,1,24,7,9.57
168,1,1,1,8.4
169,1,2,1,8.62
170,1,3,1,9.64
171,1,4,1,10.02
172,1,5,1,10.67
173,1,6,1,9.46
174,1,7,1,11.57
175,1,8,1,12.73
176,1,9,1,11.07
177,1,10,1,12.2
178,1,11,1,12.690000000000001
179,1,12,1,12.31
180,1,13,1,13.67
181,1,14,1,13.43
182,1,15,1,14.33
183,1,16,1,14.78
184,1,17,1,14.79
185,1,18,1,14.819999999999999
186,1,19,1,11.34
187,1,20,1,11.6
188,1,21,1,10.58
189,1,22,1,11.52
190,1,23,1,11.6
191,1,24,1,11.6
192,1,1,2,15.46
193,1,2,2,14.59
194,1,3,2,14.07
195,1,4,2,14.74
196,1,5,2,15.46
197,1,6,2,15.46
198,1,7,2,19.72
199,1,8,2,32.98
200,1,9,2,69.27
201,1,10,2,60.550000000000004
202,1,11,2,56.260000000000005
203,1,12,2,60.43
204,1,13,2,60.33
205,1,14,2,63.25
206,1,15,2,61.32
207,1,16,2,56.02
208,1,17,2,54.45
209,1,18,2,45.38
210,1,19,2,22.28
211,1,20,2,20.07
212,1,21,2,19.03
213,1,22,2,17.529999999999998
214,1,23,2,17.63
215,1,24,2,17.849999999999998
216,1,1,3,14.24
217,1,2,3,15.39
218,1,3,3,15.36
219,1,4,3,15.44
220,1,5,3,15.46
221,1,6,3,14.65
222,1,7,3,19.79
223,1,8,3,32.53
224,1,9,3,73.95
225,1,10,3,59.080000000000005
226,1,11,3,58.17
227,1,12,3,56.699999999999996
228,1,13,3,61.35
229,1,14,3,60.230000000000004
230,1,15,3,53.08
231,1,16,3,57.71
232,1,17,3,65.35
233,1,18,3,47.85
234,1,19,3,22.58
235,1,20,3,17.68
236,1,21,3,17.729999999999997
237,1,22,3,16.080000000000002
238,1,23,3,17.55
239,1,24,3,19.05
240,1,1,4,15.13
241,1,2,4,14.98
242,1,3,4,15.46
