,Day Ahead Auction
1,5.005
2,4.133
3,4.322
4,4.546
5,3.7670000000000003
6,3.9700000000000006
7,4.059
8,4.326
9,4.965999999999999
10,7.005
11,7.679000000000001
12,8.41
13,9.473999999999998
14,9.68
15,9.717
16,10.100000000000001
17,12.659999999999998
18,14.997
19,14.633000000000001
20,14.027999999999999
21,12.188
22,10.261
23,9.745999999999999
24,8.516
25,5.708
26,5.259
27,4.897
28,3.4939999999999998
29,2.956
30,3.3970000000000002
31,3.4520000000000004
32,4.18
33,4.8950000000000005
34,6.001
35,7.009
36,6.626
37,6.454
38,4.696
39,4.0009999999999994
40,2.911
41,3.276
42,4.297
43,6.096
44,6.094
45,5.411999999999999
46,4.616
47,4.629
48,3.293
49,0.031
50,-0.001
51,-0.007000000000000001
52,-0.10500000000000001
53,-0.1
54,0.032
55,3.755
56,8.876000000000001
57,12.293000000000001
58,11.017000000000001
59,9.338
60,9.073
61,8.237
62,8.09
63,8.098999999999998
64,9.805
65,12.351
66,14.849
67,13.8
68,11.764
69,11.770999999999999
70,9.595
71,10.568000000000001
72,9.526000000000002
73,10.37
74,10.827
75,10.592
76,10.341000000000001
77,10.270999999999999
78,11.423
79,15.690999999999999
80,18.264
81,17.891
82,19.0
83,18.988
84,18.242
85,18.246000000000002
86,17.959
87,17.9
88,18.093
89,16.669
90,18.988
91,18.494
92,17.899
93,15.612
94,14.091999999999999
95,13.791999999999998
96,9.756
97,10.531
98,9.729000000000001
99,8.450000000000001
100,7.5379999999999985
101,7.911
102,9.479000000000001
103,9.916
104,10.115
105,12.956000000000001
106,11.337
107,9.443
108,9.809999999999999
109,9.568
110,9.68
111,10.732
112,11.948
113,13.728000000000002
114,14.809
115,13.988
116,13.575000000000001
117,11.993
118,9.809
119,11.871
120,9.968
121,9.985
122,10.132
123,11.001000000000001
124,11.155
125,12.337000000000002
126,14.994
127,18.592
128,22.825
129,22.892
130,21.29
131,21.55
132,23.189999999999998
133,22.6
134,20.919999999999998
135,21.606
136,23.077
137,24.595
138,27.411
139,27.344
140,24.548
141,22.613999999999997
142,20.831
143,17.875
144,12.47
145,12.891999999999998
146,11.84
147,10.301
148,10.191
149,10.198
150,11.498999999999999
151,14.019
152,15.264
153,16.097
154,16.185
155,16.137
156,16.606
157,16.654
158,16.604
159,16.943
160,18.97
161,20.197000000000003
162,24.311000000000003
163,25.380999999999997
164,23.705000000000002
165,22.433
166,21.381
167,18.594
168,14.831999999999997
169,16.416999999999998
170,15.283000000000001
171,16.6
172,16.086
173,16.0
174,15.430000000000001
175,16.6
176,18.291
177,21.589
178,23.1
179,22.895
180,21.539
181,20.668
182,18.5
183,16.952
184,16.28
185,16.134
186,18.990000000000002
187,17.071
188,14.023
189,10.254000000000001
190,10.218
191,10.229000000000001
192,9.004999999999999
193,8.503
194,8.44
195,8.024
196,5.546
197,4.929
198,5.064
199,7.429000000000001
200,8.444
201,9.725999999999999
202,11.997
203,13.496
204,14.940000000000001
205,16.512999999999998
206,16.506
207,17.009
208,18.904
209,19.096000000000004
210,22.33
211,24.394
212,24.0
213,23.082
214,21.402
215,21.587999999999997
216,20.380000000000003
217,19.622999999999998
218,19.185
219,19.591
220,18.666
221,17.804000000000002
222,19.165000000000003
223,23.744
224,29.995
225,31.392000000000003
226,31.5
227,31.041
228,31.007999999999996
229,30.0
230,29.701
231,29.996000000000002
232,30.645
233,30.273
234,31.547000000000004
235,31.081999999999997
236,29.498
237,26.744999999999997
238,24.229
239,21.703
240,19.583000000000002
241,21.034
242,20.241999999999997
243,19.759999999999998
244,19.3
245,19.490000000000002
246,20.445
247,23.713
248,29.868
249,30.201999999999995
250,29.716000000000005
251,27.701999999999998
252,26.643
253,25.491999999999997
254,24.889
255,25.501
256,27.79
257,28.993999999999996
258,31.639999999999997
259,31.589999999999996
260,30.919999999999998
261,28.532999999999998
262,24.544
263,23.727
264,21.249000000000002
265,19.665000000000003
266,18.709999999999997
267,18.427000000000003
268,17.958000000000002
269,17.833000000000002
270,19.35
271,24.056
272,27.318000000000005
273,30.010000000000005
274,29.274
275,27.55
276,25.865
277,24.511000000000003
278,23.208000000000002
279,23.477
280,24.001
281,25.5
282,28.482000000000003
283,28.597
284,26.903
285,23.525
286,19.15
287,19.369
288,17.218
289,17.314
290,16.169
291,15.358000000000002
292,14.707
293,15.247
294,17.126
295,19.203
296,21.524
297,23.59
298,21.999000000000002
299,18.008000000000003
300,17.016000000000002
301,15.253
302,13.413
303,17.101
304,20.159
305,20.538
306,22.03
307,21.276
308,21.0
309,19.269
310,16.445999999999998
311,16.419999999999998
312,12.209
313,12.004000000000001
314,11.003
315,10.823999999999998
316,10.746
317,10.982
318,14.052000000000001
319,17.604
320,19.097
321,21.699
322,19.691
323,16.291999999999998
324,16.003999999999998
325,15.400999999999998
326,15.228999999999997
327,18.694
328,21.718
329,22.491
330,26.200000000000003
331,26.003999999999998
332,23.432
333,21.503999999999998
334,20.439
335,19.429
