Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,3201.78,9514.03,38543.47,50.05
2022-01-01T01:00+01:00,3344.15,9445.26,37281.39,41.33
2022-01-01T02:00+01:00,3340.75,9384.25,35971.11,43.22
2022-01-01T03:00+01:00,3341.08,9357.1,34533.01,45.46
2022-01-01T04:00+01:00,3335.16,9374.84,33183.42,37.67
2022-01-01T05:00+01:00,3338.23,9447.02,31540.76,39.7
2022-01-01T06:00+01:00,3336.58,9693.03,30446.23,40.59
2022-01-01T07:00+01:00,3333.74,10005.25,30302.34,43.26
2022-01-01T08:00+01:00,3338.67,10394.1,28618.49,49.66
2022-01-01T09:00+01:00,3324.29,10533.1,28648.9,70.05
2022-01-01T10:00+01:00,3330.23,10806.56,29472.93,76.79
2022-01-01T11:00+01:00,3337.02,10913.56,29867,84.1
2022-01-01T12:00+01:00,3347.26,11179.11,30543.45,94.74
2022-01-01T13:00+01:00,3340.85,10920.63,29599.54,96.8
2022-01-01T14:00+01:00,3270.57,11258.83,27206.11,97.17
2022-01-01T15:00+01:00,3329.91,13311.24,24759.76,101
2022-01-01T16:00+01:00,3335.19,14689.91,23557.57,126.6
2022-01-01T17:00+01:00,3338.59,15344.22,25334.44,149.97
2022-01-01T18:00+01:00,3344.02,15770.65,27416.85,146.33
2022-01-01T19:00+01:00,3344.13,15534.22,29625.31,140.28
2022-01-01T20:00+01:00,3350.59,14286.08,31057.19,121.88
2022-01-01T21:00+01:00,3346.68,13132.62,31359.54,102.61
2022-01-01T22:00+01:00,3347.85,12634.8,31774.71,97.46
2022-01-01T23:00+01:00,3353.48,11318.42,32379.1,85.16
2022-01-02T00:00+01:00,3346.53,9867.91,32912.16,57.08
2022-01-02T01:00+01:00,3189.86,9765.84,32275.5,52.59
2022-01-02T02:00+01:00,3262.45,9611.95,31335.14,48.97
2022-01-02T03:00+01:00,3291.34,9498.44,31490.42,34.94
2022-01-02T04:00+01:00,3342.23,9512.09,30834.98,29.56
2022-01-02T05:00+01:00,3326.86,9525,31533.73,33.97
2022-01-02T06:00+01:00,3305.77,9537.69,31544.12,34.52
2022-01-02T07:00+01:00,3334.1,9581.57,31725.79,41.8
2022-01-02T08:00+01:00,3352.2,9652.86,34601.63,48.95
2022-01-02T09:00+01:00,3333.73,9600.68,36424.62,60.01
2022-01-02T10:00+01:00,3356.25,9630.99,40354,70.09
2022-01-02T11:00+01:00,3369.17,9522.64,43901.78,66.26
2022-01-02T12:00+01:00,3360.16,9507.28,47247.16,64.54
2022-01-02T13:00+01:00,3356.03,9539.8,46873.25,46.96
2022-01-02T14:00+01:00,3340.91,9514.04,47208.23,40.01
2022-01-02T15:00+01:00,3345.02,9553.59,46722.03,29.11
2022-01-02T16:00+01:00,3335.04,9551.69,46524.59,32.76
2022-01-02T17:00+01:00,3340.31,9785.02,48297.03,42.97
2022-01-02T18:00+01:00,3335.39,9805.37,49057.41,60.96
2022-01-02T19:00+01:00,3322.81,9707.59,48761.94,60.94
2022-01-02T20:00+01:00,3328.47,9761.01,47513.37,54.12
2022-01-02T21:00+01:00,3308.16,9503.94,46324.57,46.16
2022-01-02T22:00+01:00,3342.41,9638.64,43525.01,46.29
2022-01-02T23:00+01:00,3352.42,9396.69,42319.94,32.93
2022-01-03T00:00+01:00,3338.96,9579.22,41668.03,0.31
2022-01-03T01:00+01:00,3327.05,9831.39,39730.27,-0.01
2022-01-03T02:00+01:00,3165.49,9682.24,39368.75,-0.07
2022-01-03T03:00+01:00,3128.96,9623.69,36651.35,-1.05
2022-01-03T04:00+01:00,3094.87,9708.33,38176.62,-1
2022-01-03T05:00+01:00,3300.34,9989.19,41729,0.32
2022-01-03T06:00+01:00,3314.78,11136.16,48106.87,37.55
2022-01-03T07:00+01:00,3306.92,13283.88,50309.21,88.76
2022-01-03T08:00+01:00,3326.79,15684.22,48955.36,122.93
2022-01-03T09:00+01:00,3340.94,17501.3,49476.25,110.17
2022-01-03T10:00+01:00,3346.48,18534.79,50680.58,93.38
2022-01-03T11:00+01:00,3371.77,18491.39,52848.74,90.73
2022-01-03T12:00+01:00,3779.66,18354.28,54086.24,82.37
2022-01-03T13:00+01:00,4015.19,18419.85,52436.74,80.9
2022-01-03T14:00+01:00,4037.72,18882.48,50553.36,80.99
2022-01-03T15:00+01:00,4037.58,20029.7,47433.19,98.05
2022-01-03T16:00+01:00,4037.65,21098.62,45503.11,123.51
2022-01-03T17:00+01:00,4037.87,21675.21,44497.91,148.49
2022-01-03T18:00+01:00,4042.21,22083.4,44505.92,138
2022-01-03T19:00+01:00,4045.9,22300.62,44050.86,117.64
2022-01-03T20:00+01:00,4045.73,22432.89,41691.2,117.71
2022-01-03T21:00+01:00,4050.27,22354.59,39811.97,95.95
2022-01-03T22:00+01:00,4046.18,22257.05,37445.1,105.68
2022-01-03T23:00+01:00,4058.52,21881.62,35769.9,95.26
2022-01-04T00:00+01:00,4059.02,22146.33,33472.71,103.7
2022-01-04T01:00+01:00,4053.46,21896.1,32566.99,108.27
2022-01-04T02:00+01:00,4059.02,21048.97,30615.32,105.92
2022-01-04T03:00+01:00,4059.07,21168.37,28648.58,103.41
2022-01-04T04:00+01:00,4058.84,22422.88,26393.09,102.71
2022-01-04T05:00+01:00,4050.51,23887.99,24888.08,114.23
2022-01-04T06:00+01:00,4050.51,26724.66,24202.59,156.91
2022-01-04T07:00+01:00,4046.62,30364.43,23840.44,182.64
2022-01-04T08:00+01:00,4048.38,32073.18,23313.61,178.91
2022-01-04T09:00+01:00,4059.22,33537.63,22669.56,190
2022-01-04T10:00+01:00,4058.65,34071.6,23391.37,189.88
2022-01-04T11:00+01:00,4057.98,34193.41,24133.16,182.42
2022-01-04T12:00+01:00,4048.6,34536.37,25895.33,182.46
2022-01-04T13:00+01:00,4042.9,34605.65,27015.43,179.59
2022-01-04T14:00+01:00,4042.19,34089.79,27693.39,179
2022-01-04T15:00+01:00,4044.83,33928.43,27360.31,180.93
2022-01-04T16:00+01:00,4052.47,33945.3,27493.92,166.69
2022-01-04T17:00+01:00,4057.39,34249.17,28361.8,189.88
2022-01-04T18:00+01:00,4054.24,34203.18,28572.07,184.94
2022-01-04T19:00+01:00,4064.15,34043.94,28606.96,178.99
2022-01-04T20:00+01:00,4070.88,33076.95,29387.74,156.12
2022-01-04T21:00+01:00,4074.41,31207.31,29434.66,140.92
2022-01-04T22:00+01:00,4081.84,30333.4,28637.77,137.92
2022-01-04T23:00+01:00,4080.4,29527.06,29141.44,97.56
2022-01-05T00:00+01:00,4083.28,26424.81,29683.19,105.31
2022-01-05T01:00+01:00,4086.43,24385.29,31187.3,97.29
2022-01-05T02:00+01:00,4088.54,23057.14,32785.25,84.5
2022-01-05T03:00+01:00,4090.7,21082.19,35348.59,75.38
2022-01-05T04:00+01:00,4090.71,21037.34,36918.51,79.11
2022-01-05T05:00+01:00,4088.03,22636.11,38431.76,94.79
2022-01-05T06:00+01:00,4069.12,24628.88,41346.66,99.16
2022-01-05T07:00+01:00,4067.49,26356.9,42579.04,101.15
2022-01-05T08:00+01:00,4069,26505.41,44327.2,129.56
2022-01-05T09:00+01:00,4085.18,25318.63,46394.7,113.37
2022-01-05T10:00+01:00,4077.18,25177.76,49378.34,94.43
2022-01-05T11:00+01:00,4077.38,24872.59,53005.08,98.1
2022-01-05T12:00+01:00,4085.12,23720.61,54682.98,95.68
2022-01-05T13:00+01:00,4084.41,23254.52,55446.99,96.8
2022-01-05T14:00+01:00,4077.24,23659.84,53611.75,107.32
2022-01-05T15:00+01:00,4078.48,24773.09,50474.9,119.48
2022-01-05T16:00+01:00,4072.22,25542.88,48583.85,137.28
2022-01-05T17:00+01:00,4075.78,26058.78,45315.19,148.09
2022-01-05T18:00+01:00,4080.34,26296.57,44989.69,139.88
2022-01-05T19:00+01:00,4082.72,25840.81,44330.32,135.75
2022-01-05T20:00+01:00,4084.04,24674.68,43060.02,119.93
2022-01-05T21:00+01:00,4086.59,23698.22,40697.5,98.09
2022-01-05T22:00+01:00,4086.89,23768.91,38971.63,118.71
2022-01-05T23:00+01:00,4091.23,23215.08,37745.28,99.68
2022-01-06T00:00+01:00,4089.41,21522.04,36524.78,99.85
2022-01-06T01:00+01:00,4095.1,21725.06,34628.83,101.32
2022-01-06T02:00+01:00,4091.19,23436.09,32994.75,110.01
2022-01-06T03:00+01:00,4091.05,24224.5,31045.27,111.55
2022-01-06T04:00+01:00,4022.44,25535.15,28628.52,123.37
2022-01-06T05:00+01:00,3986.75,27148.93,27005.48,149.94
2022-01-06T06:00+01:00,3985.42,29242.66,25372.23,185.92
2022-01-06T07:00+01:00,3990.08,31668.01,22214.09,228.25
